E,I,R,q5,q10,q25,q50,q75,q90,q95,
14,47,632626,139.9,171.6,239,349.5,525,757.2,885.2,
184,357,210075,2829.65,2940.9,3140,3430,3810,4250,4551,
440,81,725303,469,508.9,591,714,874.25,1043.1,1139.3,
317,47,633656,493.95,539.9,656.75,810.5,996.25,1221.1,1344.3,
105,351,770589,355.9,388.9,465.75,570.5,724,878.2,996,
3,25,730204,67.95,82.9,119,187,308,473.5,585.25,
343,483,865983,413.95,445,510.75,585.5,699.25,805.2,898.05,
378,472,711666,534.9,578.9,661,767,920.5,1093.1,1202.25,
315,450,25492,1907,1959,2045,2170,2315.25,2480.1,2630.35,
444,434,536741,816.95,893.9,1031.75,1242,1472,1777.2,1983.15,
264,15,819161,328,365,435,531,662.25,814.4,907,
63,155,46829,2237.95,2287,2388.75,2547.5,2726.5,2926.1,3055.15,
4,475,911857,294.9,320,381,452,558,665.1,740.05,
262,26,881962,306.85,339,399,474,589,708.2,806.1,
230,469,260791,2868.55,3046.9,3341,3735.5,4235.25,4828.3,5236,
500,16,530094,718.8,817.8,972.75,1186,1481.25,1766.1,1996.3,
456,226,537916,753.65,827.9,970.75,1189.5,1472.5,1750.1,1972.3,
333,305,409813,1234.35,1406.2,1727.5,2179.5,2694.5,3330.1,3748.25,
181,29,966653,250,275,330,410,499.25,617.3,694.15,
49,196,974812,228,257,308.75,374,462,576.2,646.1,
168,145,113764,2409.75,2491.6,2650.5,2814,3043.25,3285.3,3426.05,
22,120,21181,2214.9,2264,2371.75,2521.5,2698.5,2862.4,3011.15,
196,152,553459,507.95,570.9,723,924.5,1185,1466.1,1686.1,
238,257,946413,317.95,348.9,405.75,477,581,696,765.05,
282,101,799457,377.95,409,479,575,701,833.2,916.2,
496,275,472768,982,1079.8,1303.5,1553,1949,2347.2,2625.2,
478,273,158589,2376,2457.8,2614.75,2839,3105.25,3420.3,3633.85,
433,119,509142,800.75,870.7,1039.5,1303.5,1606.75,1917.4,2207.45,
417,126,191429,2591.8,2702.9,2896,3151,3452.25,3781.2,4005.65,
88,86,610265,337.95,386.9,486.5,624.5,818.25,1061.1,1250,
186,500,748962,441.85,476.9,565,683,811.25,982,1085.3,
417,229,130074,2289.95,2373.8,2511,2682,2904,3140.2,3274.2,
136,395,232622,2968.35,3122,3380,3719.5,4168.25,4670.4,5105.7,
81,187,946553,248.95,279,324.75,386,481,587.5,692.05,
76,68,457286,415.85,473.9,683,972.5,1390.25,1922.3,2324.45,
377,18,172191,2601.95,2704.8,2880,3089.5,3382.75,3704,3929.1,
454,136,865361,389,422.9,479,563,674.25,833.2,929,
16,382,878299,283.95,308.9,373,447,544,657.6,762.05,
489,29,626073,563.95,620.8,724,879.5,1081,1314.4,1470.2,
11,246,653935,310.85,345,441.75,585,755,975.1,1144.25,
238,27,279988,3145.75,3414.9,3829.75,4391,5108.25,6026.3,6754.8,
281,473,619066,597,654.9,757.75,909.5,1101.5,1348.1,1488.05,
490,20,85063,2143,2198.8,2307.75,2461,2662.25,2895.2,3043.05,
285,11,571844,533.9,609.8,730,916.5,1128.5,1394.1,1598.05,
14,39,540743,135.95,169,241,386,635.25,920.4,1142.55,
242,497,680885,516.9,572.9,652,792.5,967,1144.1,1296.7,
491,351,108305,2142.9,2215.8,2334.75,2508.5,2692.25,2917.1,3116,
499,400,278142,2649.7,2792.5,3082.5,3494,3955.25,4492.8,4863.4,
25,465,107631,2354,2432.9,2579,2765,2979.25,3225.3,3397.05,
44,479,318567,2390.9,2772.3,3269.5,3974.5,4846.25,5646.7,6204.55,
486,415,9202,1794,1853.9,1952.75,2064,2211,2354.1,2441.25,
6,499,968476,272.95,300,358,434.5,522,618.5,700.15,
424,169,313796,2576.95,2789.7,3172.75,3712,4314,5087.6,5615.1,
26,464,6136,1971.9,2017,2112,2218.5,2380,2537.3,2653.05,
414,8,358916,1733.75,1944,2436,3056.5,3797,4521.8,5085.5,
293,337,456443,941.95,1071.9,1292,1608,2051.75,2478,2795.05,
322,273,362627,1759.65,1970.9,2425.75,3015,3713.5,4477.4,5006.95,
12,159,582659,301.85,341.9,433,594,809.25,1070.1,1242.15,
466,16,754675,449.7,489,560,677.5,824.25,994.1,1090.05,
376,487,936288,387.95,415,463.75,536,634,755.1,815.1,
42,497,702004,414.9,463.9,543,659,821,994,1139.15,
139,240,876650,312,339,389,477,583,700.1,808.05,
45,285,404686,753,909.5,1224.5,1729.5,2376,3174.4,3752.5,
214,28,769884,322.95,359,436.75,536.5,664,810.2,909.05,
343,109,707511,452.95,498,581,710.5,873,1063.2,1192.15,
92,338,630070,461,502,605.75,744,947.25,1177.1,1329.85,
5,41,878394,89.95,108.9,146,215.5,314,456.1,549,
230,382,988258,324.95,344.9,398,464,552.25,650.1,731.15,
185,74,479670,594.9,701.9,891.25,1156.5,1519.25,1969.3,2258.15,
173,486,419168,1089.9,1246.5,1530.75,1917.5,2471.75,3005.5,3372.6,
385,435,79678,2076.9,2125.9,2239,2377,2543.25,2731.3,2844.1,
306,489,799268,447.95,481,552.5,647,768.75,899.1,1021.15,
319,498,369969,1729.85,1984.3,2302,2757,3442.25,4192.5,4725.35,
54,480,545317,546.95,618,760.75,960,1247,1557.1,1805.05,
252,25,31140,2045,2107,2198.75,2329.5,2489.25,2661.1,2754.2,
154,372,574291,568,635,748,928,1141,1399.7,1595.1,
490,48,225802,2749.75,2868.9,3127,3444,3850.5,4237.2,4491.3,
299,5,267055,3137.95,3339.8,3651.75,4123,4715.5,5483.4,5948.6,
465,6,312559,2640.65,2885.8,3262.5,3852.5,4518,5283.3,5788,
90,54,795549,237,271.9,338,431.5,550,691.1,847,
490,381,558662,759.95,823.8,969.75,1144.5,1376,1656.1,1853.3,
8,171,240717,2400.55,3599.9,4055.5,4621.5,5280.75,6027.1,6416.2,
11,11,685194,64.95,87,131,211.5,336,495.5,638.649999999999,
267,471,311975,2650,2841.7,3185.75,3666,4301,5029.8,5526.75,
328,16,662965,459,509.6,597.75,743.5,905.25,1126.6,1220.25,
363,443,897569,397.95,426,476.75,552.5,667.5,780.3,881.2,
495,441,628202,645.95,699.9,814,955,1160,1362.2,1540.1,
500,261,702662,523.95,582.8,663.25,788.5,941,1125.4,1265.25,
70,2,243064,709.95,1230.8,4062,4707.5,5398.5,6201.8,6686.05,
14,216,530969,375,434,567,762,1062,1403.6,1656.25,
342,18,129498,2413.75,2495.9,2639,2834.5,3077.75,3355.1,3523.45,
465,492,125643,2179.9,2245.9,2375,2555,2753,3023.2,3194,
126,183,752777,337.95,367,448,558,716.5,867,965,
179,489,881369,359.95,391.9,455,541,664.25,790.2,897,
260,427,5620,1867.85,1915,2000,2120.5,2262.25,2400.1,2532.05,
423,486,764587,485.85,522.9,598.75,694,827.25,970.1,1053.2,
483,500,895259,414,439.9,501,574,674,806.1,891.05,
425,35,692095,480.9,530,622,742,895.25,1079.5,1237.4,
103,3,120705,2665,2740.8,2890,3112,3380,3658.5,3835,
33,9,917490,114,132.9,178.75,244,327.25,434.1,521.25,
13,499,809609,343,381,446.75,529,643.25,792.2,900.25,
498,150,26724,1900.9,1938,2034.5,2175.5,2318,2470.3,2638,
270,461,588143,615.95,684,815.75,999,1209,1427.5,1645.15,
202,44,345838,1300.65,1595.4,2284.25,3237.5,4211.75,5141.1,5834.35,
500,11,372430,1623.6,1829.9,2281,2848,3469.5,4193,4649.25,
496,28,804383,429,460.9,535.75,629,756,891.1,976.2,
136,124,166098,2785.9,2887.9,3075.75,3319,3613,3989.2,4199.1,
114,12,986307,198.95,226,268,337.5,428.25,532.1,584,
468,494,324340,2390.7,2550.9,2876.5,3351.5,3910.25,4574.3,5063.1,
39,9,266136,277.9,403.9,986.75,4857.5,5855,6818.5,7465.25,
481,5,848059,390,424.9,486.75,570.5,690,831,922.05,
10,16,366470,91,120.9,204,401,905.25,2028.3,3134.05,
356,273,272600,2913.95,3052.6,3364.5,3811.5,4312.5,4900,5460.1,
491,445,237818,2654.95,2767,2962.75,3261.5,3656.75,4078.1,4388.5,
7,492,610626,460.95,514,629.75,778.5,978,1220.4,1377.1,
447,5,555661,646.95,728,864,1046,1301,1564.4,1809.1,
13,14,39452,153,258.7,2543,2800,3059.25,3310.5,3463.3,
336,11,972693,296.95,323,374.75,443,544,643.1,725.05,
465,2,999473,327,349.9,400.75,472,564,672.1,730.2,
289,464,553313,718.95,780.6,913,1122,1366.5,1630,1833.2,
275,212,610382,555.95,599.9,711.75,869.5,1077.75,1298.4,1464.3,
496,131,177666,2510.95,2602.9,2782,2994,3295,3582.2,3810,
349,6,406350,1016.8,1188.9,1573,2099.5,2783.25,3432.1,3804.4,
13,7,446808,81,110,168,294.5,560.25,970.8,1404.6,
