R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.823023857735097,398,388,17693,329.85,352,394,460,542.25,625.1,683,
0.21831618566066,10,306,981581,47,50,56,64,74,85,92,
0.596969533711672,491,185,753801,114.95,120,131,148,168,192,208.05,
0.294101952388883,159,173,992330,60,63,70,79,90,102,109.05,
0.371789205260575,480,173,643320,82,85,92,102,115,131,140,
0.629762764833868,112,394,10480,126,134,151,173,201.25,234,261,
0.681661160103977,366,195,220536,151,159,179,201,231,270,292.15,
0.443841216340661,26,48,224788,49,55,64,76,92,111,123,
0.246955871395767,472,51,962479,68,70,77,84,94,107,115.05,
0.896277853101492,257,56,622081,228,248,287,344,411.25,484,530.05,
0.83168472032994,474,14,572451,208,223,254,292,339,386.1,437,
0.390642266348004,480,232,67572,90,94,101,113,128,145,157.05,
0.26051317024976,492,437,676983,73,76,82,90,101,113,123,
0.508148518018425,499,459,974767,99,104,114,126,144,163,176,
0.816722318902612,53,457,10065,254.9,275,318,379,460,540,606,
0.663203918933868,499,469,162071,163,171,189,212.5,242,275,295,
0.614542925357819,111,496,979452,100,107,119,133,154,176,192,
0.572478992119432,473,9,242213,118,126,138,153,176,201,217,
0.819578376598656,11,455,924913,141,151,171,199,234,272,301.1,
0.626722352020442,475,426,997713,118.95,124,138,156,175,199,218,
0.382190758734941,20,462,952083,64,68,77,87,101,115,126,
0.586952757649124,3,45,421927,45,50.9,61,78,96,119,135.1,
0.347367129847407,236,475,597380,74,79,86,96,110,124.1,135,
0.849833437055349,273,32,16075,315.9,348.9,405.75,488,600,739.1,842.1,
0.216709683462977,487,455,43675,71,73,80,88,99,112,120,
0.267199381813407,37,4,709688,38,41,47,56,66,79.1,90,
0.165011782199144,473,276,189752,64,67,73,81,90,100,106,
0.453160738199949,21,433,37942,78.95,84,93,108,126,148,165,
0.747210600599647,300,12,416720,152,161.9,182,211,247,290,314.05,
0.886009853892028,13,371,742289,182,198.9,230,272,330,391.1,429.1,
0.260227068141103,28,20,27033,38,41,47,57,68,79,90,
0.729149970598519,489,290,41985,207,219,243,275,313,356,392.05,
0.512785178795457,347,377,318403,105,110.9,121,134,153,172,187,
0.103702995181084,429,130,339103,58,61,65,72,81,91,98,
0.140686865150929,43,395,20613,49.95,52,57.75,65,73,85,93,
0.505635633505881,284,11,10041,95,101,113,128,148,166.1,187,
0.686584253236651,487,24,985635,124,130,144,164,189,218,243.05,
0.850645616836846,467,467,235662,326,349,390,442.5,518,597,656.05,
0.354624453745782,21,68,950917,43,46,53,63,75,87,100,
0.783235585875809,13,1,630360,40.95,51,67,92,125.25,164,200.05,
0.815762194059789,130,3,808152,121.95,134.9,154,183,226,268,293.1,
0.100002276152372,179,399,819496,52,54,59,66,73.25,84,91,
0.326887676119804,257,90,7552,72,76,84,94,108,124,137,
0.28244811091572,1,463,310601,58,61,68,77,88,101,112,
0.33210110552609,479,276,986603,75,79,87,95.5,108,120,129,
0.648428046889603,490,82,436837,134,141,156,177,205,233,256.05,
