R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.13987540602684,491,499,207149,64,66,71,78,87,97,106.05,
0.757957387343049,235,2,48427,170.95,187,218,256,306,369.1,400.05,
0.210159516520798,65,115,867279,46,49,55,62,73,83.1,92,
0.483719096332789,248,294,79044,96,102,112,127,146,167,179,
0.565512178651989,363,13,10548,116,122,135.75,155,176.25,203,221,
0.89490482006222,495,241,995686,220.95,233,261,296,344.25,400,437,
0.334100697934628,495,20,140098,80,84,92,102,114.25,127,142,
0.105836008489132,5,473,808047,44,47,52,58,66,77,86,
0.819296564906836,409,272,952333,175,184,205,233,271,308,339.05,
0.824988941848278,4,93,667588,88,100,122,155,200,253,286,
